new_task_id,old_task_id
0,4
1,5
2,6
3,7
4,10
5,11
6,14
7,15
8,17
9,18
10,23
11,25
12,26
13,27
14,28
15,30
16,31
17,32
18,33
19,34
20,36
21,39
22,40
23,41
24,42
25,43
26,44
27,45
28,46
29,48
30,49
31,52
32,53
33,55
34,56
35,57
36,60
37,61
38,62
39,65
40,67
41,68
42,69
43,76
44,77
45,78
46,79
47,81
48,82
49,83
50,84
51,87
52,89
53,90
54,92
55,96
56,98
57,102
58,103
59,104
60,105
61,106
62,108
63,110
64,113
65,115
66,118
67,119
68,120
69,122
70,127
71,129
72,131
73,133
74,135
75,137
76,138
77,140
78,141
79,142
80,143
81,146
82,148
83,154
84,158
85,159
86,161
87,166
88,168
89,170
90,174
91,179
92,181
93,182
94,183
95,187
96,188
97,190
98,191
99,192
100,196
101,197
102,198
103,200
104,201
105,204
106,205
107,206
108,210
109,211
110,223
111,224
112,228
113,231
114,233
115,239
116,240
117,242
118,244
119,245
120,246
121,247
122,248
123,249
124,252
125,253
126,254
127,257
128,258
129,259
130,263
131,264
132,268
133,269
134,273
135,274
136,275
137,277
138,279
139,282
140,284
141,292
142,293
143,294
144,297
145,298
146,299
147,300
148,305
149,306
150,308
151,310
152,313
153,317
154,318
155,319
156,320
157,322
158,323
159,324
160,326
161,328
162,329
163,330
164,331
165,332
166,333
167,336
168,338
169,339
170,343
171,344
172,345
173,350
174,351
175,352
176,353
177,360
178,363
179,364
180,367
181,371
182,375
183,376
184,377
185,380
186,384
187,385
188,388
189,389
190,390
191,394
192,399
193,406
194,407
195,411
196,412
197,413
198,414
199,415
200,417
201,419
202,420
203,421
204,423
205,424
206,425
207,426
208,430
209,431
210,432
211,433
212,435
213,437
214,438
215,439
216,441
217,444
218,445
219,447
220,448
221,451
222,453
223,455
224,456
225,457
226,460
227,463
228,464
229,465
230,468
231,469
232,471
233,473
234,475
235,477
236,479
237,480
238,481
239,482
240,483
241,484
242,488
243,490
244,491
245,492
246,494
247,495
248,500
249,501
250,502
251,503
252,505
253,506
254,507
255,509
256,510
257,511
258,512
259,514
260,515
261,518
262,519
263,522
264,525
265,526
266,527
267,528
268,529
269,531
270,532
271,534
272,536
273,537
274,538
275,543
276,545
277,546
278,549
279,551
280,552
281,553
282,554
283,555
284,556
285,557
286,559
287,560
288,561
289,562
290,563
291,564
292,565
293,566
294,571
295,572
296,573
297,575
298,581
299,582
300,584
301,588
302,590
303,592
304,593
305,595
306,598
307,599
308,600
309,605
310,606
311,608
312,611
313,612
314,613
315,614
316,616
317,617
318,618
319,619
320,622
321,623
322,624
323,628
324,632
325,639
326,641
327,642
328,644
329,647
330,649
331,650
332,654
333,655
334,656
335,657
336,659
337,662
338,663
339,665
340,669
341,670
342,671
343,674
344,678
345,679
346,680
347,683
348,685
349,688
350,693
351,698
352,701
353,702
354,703
355,704
356,706
357,707
358,714
359,716
360,717
361,718
362,719
363,720
364,723
365,726
366,729
367,730
368,733
369,734
370,735
371,740
372,742
373,746
374,747
375,748
376,749
377,750
378,751
379,752
380,755
381,758
382,760
383,762
384,766
385,767
386,768
387,771
388,772
389,773
390,775
391,777
392,780
393,783
394,787
395,788
396,790
397,791
398,793
399,794
400,798
401,801
402,802
403,805
404,806
405,807
406,814
407,818
408,819
409,820
410,822
411,825
412,826
413,828
414,830
415,831
416,837
417,838
418,839
419,840
420,841
421,842
422,844
423,845
424,851
425,852
426,853
427,855
428,859
429,860
430,863
431,864
432,865
433,866
434,870
435,876
436,879
437,880
438,886
439,887
440,888
441,890
442,892
443,894
444,896
445,898
446,903
447,904
448,905
449,906
450,908
451,912
452,914
453,915
454,916
455,917
456,919
457,922
458,923
459,926
460,928
461,930
462,931
463,933
464,938
465,939
466,940
467,942
468,943
469,944
470,946
471,947
472,948
473,951
474,954
475,956
476,957
477,960
478,961
479,962
480,963
481,965
482,968
483,969
484,970
485,971
486,976
487,977
488,978
489,983
490,984
491,986
492,987
493,988
494,989
495,992
496,994
497,997
498,998
499,999
