new_task_id,old_task_id
0,2
1,3
2,9
3,14
4,16
5,19
6,21
7,22
8,31
9,32
10,35
11,36
12,37
13,38
14,41
15,43
16,45
17,46
18,48
19,50
20,57
21,65
22,66
23,69
24,70
25,78
26,79
27,83
28,87
29,88
30,94
31,97
32,98
33,99
34,104
35,109
36,113
37,123
38,126
39,129
40,134
41,136
42,139
43,145
44,146
45,151
46,157
47,167
48,170
49,172
50,181
51,182
52,195
53,199
54,200
55,202
56,210
57,214
58,215
59,217
60,218
61,222
62,225
63,226
64,232
65,235
66,242
67,246
68,248
69,250
70,251
71,253
72,258
73,261
74,263
75,269
76,276
77,286
78,292
79,294
80,295
81,296
82,299
83,305
84,306
85,309
86,310
87,318
88,320
89,322
90,323
91,324
92,326
93,333
94,334
95,340
96,346
97,350
98,351
99,354
100,357
101,360
102,363
103,364
104,368
105,369
106,370
107,373
108,374
109,376
110,380
111,387
112,388
113,394
114,403
115,404
116,409
117,415
118,416
119,417
120,418
121,421
122,423
123,428
124,429
125,430
126,435
127,447
128,452
129,453
130,457
131,459
132,467
133,468
134,470
135,476
136,478
137,480
138,483
139,485
140,488
141,489
142,491
143,492
144,493
145,495
146,499
147,500
148,502
149,506
150,508
151,510
152,511
153,520
154,525
155,534
156,537
157,538
158,543
159,545
160,547
161,550
162,555
163,557
164,559
165,560
166,564
167,565
168,566
169,570
170,574
171,577
172,586
173,587
174,589
175,594
176,599
177,606
178,610
179,611
180,612
181,616
182,617
183,621
184,626
185,627
186,639
187,644
188,647
189,650
190,652
191,657
192,658
193,663
194,674
195,677
196,681
197,688
198,689
199,695
200,696
201,699
202,700
203,702
204,704
205,706
206,707
207,709
208,710
209,711
210,717
211,722
212,723
213,724
214,725
215,728
216,735
217,736
218,738
219,743
220,745
221,746
222,748
223,751
224,753
225,762
226,764
227,765
228,766
229,770
230,771
231,776
232,778
233,782
234,784
235,786
236,789
237,799
238,800
239,802
240,804
241,809
242,814
243,817
244,819
245,823
246,825
247,827
248,834
249,835
250,839
251,844
252,847
253,848
254,850
255,852
256,853
257,861
258,865
259,870
260,876
261,880
262,883
263,884
264,888
265,894
266,895
267,897
268,900
269,906
270,910
271,914
272,918
273,921
274,922
275,923
276,926
277,928
278,930
279,933
280,934
281,938
282,944
283,968
284,969
285,970
286,973
287,975
288,976
289,980
290,983
291,985
292,986
293,988
294,989
295,990
296,992
297,994
298,995
299,996
