task_id,start_time,end_time,window_length,best_time
0,2013-04-20 17:32:19.945,2013-04-20 17:35:01.920,162.0,2013-04-20 17:33:40.932500
1,2013-04-20 21:31:42.332,2013-04-20 21:34:19.106,156.8,2013-04-20 21:33:00.719000
2,2013-04-20 05:03:18.772,2013-04-20 05:06:26.239,187.5,2013-04-20 05:04:52.505500
2,2013-04-20 13:22:06.588,2013-04-20 13:25:03.474,176.9,2013-04-20 13:23:35.031000
3,2013-04-20 11:10:16.243,2013-04-20 11:13:23.830,187.6,2013-04-20 11:11:50.036500
3,2013-04-20 23:02:52.435,2013-04-20 23:05:29.149,156.7,2013-04-20 23:04:10.792000
5,2013-04-20 12:02:55.478,2013-04-20 12:05:43.920,168.4,2013-04-20 12:04:19.699000
6,2013-04-20 05:48:00.137,2013-04-20 05:50:53.845,173.7,2013-04-20 05:49:26.991000
7,2013-04-20 14:15:52.065,2013-04-20 14:18:29.639,157.6,2013-04-20 14:17:10.852000
9,2013-04-20 05:35:50.585,2013-04-20 05:39:27.997,217.4,2013-04-20 05:37:39.291000
10,2013-04-20 09:03:16.303,2013-04-20 09:04:16.822,60.5,2013-04-20 09:03:46.562500
10,2013-04-20 15:40:45.813,2013-04-20 15:44:06.902,201.1,2013-04-20 15:42:26.357500
11,2013-04-20 07:14:45.328,2013-04-20 07:17:21.050,155.7,2013-04-20 07:16:03.189000
11,2013-04-20 19:04:50.832,2013-04-20 19:07:32.720,161.9,2013-04-20 19:06:11.776000
12,2013-04-20 03:04:51.426,2013-04-20 03:06:01.957,70.5,2013-04-20 03:05:26.691500
12,2013-04-20 18:30:55.601,2013-04-20 18:33:34.273,158.7,2013-04-20 18:32:14.937000
13,2013-04-20 03:50:41.977,2013-04-20 03:54:31.213,229.2,2013-04-20 03:52:36.595000
15,2013-04-20 05:54:36.096,2013-04-20 05:57:15.249,159.2,2013-04-20 05:55:55.672500
15,2013-04-20 12:29:56.960,2013-04-20 12:32:55.617,178.7,2013-04-20 12:31:26.288500
16,2013-04-20 06:21:52.914,2013-04-20 06:23:29.041,96.1,2013-04-20 06:22:40.977500
17,2013-04-20 13:42:33.093,2013-04-20 13:42:44.694,11.6,2013-04-20 13:42:38.893500
19,2013-04-20 11:19:48.480,2013-04-20 11:20:08.905,20.4,2013-04-20 11:19:58.692500
20,2013-04-20 15:57:37.627,2013-04-20 16:00:30.803,173.2,2013-04-20 15:59:04.215000
21,2013-04-20 09:49:06.707,2013-04-20 09:51:57.500,170.8,2013-04-20 09:50:32.103500
21,2013-04-20 18:05:39.271,2013-04-20 18:08:46.572,187.3,2013-04-20 18:07:12.921500
22,2013-04-20 15:04:58.294,2013-04-20 15:07:41.180,162.9,2013-04-20 15:06:19.737000
23,2013-04-20 08:47:13.883,2013-04-20 08:49:58.879,165.0,2013-04-20 08:48:36.381000
23,2013-04-20 20:40:19.798,2013-04-20 20:40:36.306,16.5,2013-04-20 20:40:28.052000
24,2013-04-20 06:32:23.670,2013-04-20 06:33:09.873,46.2,2013-04-20 06:32:46.771500
24,2013-04-20 18:14:06.004,2013-04-20 18:14:27.192,21.2,2013-04-20 18:14:16.598000
25,2013-04-20 16:59:28.286,2013-04-20 17:02:45.027,196.7,2013-04-20 17:01:06.656500
25,2013-04-20 21:59:48.320,2013-04-20 21:59:52.905,4.6,2013-04-20 21:59:50.612500
25,2013-04-20 23:33:58.623,2013-04-20 23:37:51.240,232.6,2013-04-20 23:35:54.931500
26,2013-04-20 14:15:38.436,2013-04-20 14:18:16.826,158.4,2013-04-20 14:16:57.631000
27,2013-04-20 03:15:12.699,2013-04-20 03:17:58.798,166.1,2013-04-20 03:16:35.748500
28,2013-04-20 12:50:49.153,2013-04-20 12:51:32.374,43.2,2013-04-20 12:51:10.763500
28,2013-04-20 22:56:45.040,2013-04-20 22:59:33.407,168.4,2013-04-20 22:58:09.223500
29,2013-04-20 05:27:39.216,2013-04-20 05:29:05.584,86.4,2013-04-20 05:28:22.400000
29,2013-04-20 20:52:35.342,2013-04-20 20:55:49.727,194.4,2013-04-20 20:54:12.534500
30,2013-04-20 10:21:05.211,2013-04-20 10:24:10.209,185.0,2013-04-20 10:22:37.710000
31,2013-04-20 04:20:57.615,2013-04-20 04:23:34.992,157.4,2013-04-20 04:22:16.303500
31,2013-04-20 10:55:34.886,2013-04-20 10:58:22.931,168.0,2013-04-20 10:56:58.908500
32,2013-04-20 19:53:26.760,2013-04-20 19:53:41.371,14.6,2013-04-20 19:53:34.065500
33,2013-04-20 03:23:45.862,2013-04-20 03:26:37.427,171.6,2013-04-20 03:25:11.644500
33,2013-04-20 13:26:05.556,2013-04-20 13:29:06.476,180.9,2013-04-20 13:27:36.016000
34,2013-04-20 02:40:22.735,2013-04-20 02:43:30.474,187.7,2013-04-20 02:41:56.604500
36,2013-04-20 03:47:40.630,2013-04-20 03:50:22.068,161.4,2013-04-20 03:49:01.349000
36,2013-04-20 22:32:44.685,2013-04-20 22:35:57.824,193.1,2013-04-20 22:34:21.254500
37,2013-04-20 10:36:02.254,2013-04-20 10:38:43.218,161.0,2013-04-20 10:37:22.736000
37,2013-04-20 18:52:34.019,2013-04-20 18:55:12.491,158.5,2013-04-20 18:53:53.255000
38,2013-04-20 21:24:11.179,2013-04-20 21:26:57.515,166.3,2013-04-20 21:25:34.347000
39,2013-04-20 01:12:42.465,2013-04-20 01:15:55.542,193.1,2013-04-20 01:14:19.003500
39,2013-04-20 06:08:53.889,2013-04-20 06:12:20.084,206.2,2013-04-20 06:10:36.986500
40,2013-04-20 08:48:35.228,2013-04-20 08:51:22.891,167.7,2013-04-20 08:49:59.059500
40,2013-04-20 20:39:14.729,2013-04-20 20:42:14.742,180.0,2013-04-20 20:40:44.735500
41,2013-04-20 11:49:17.488,2013-04-20 11:52:46.506,209.0,2013-04-20 11:51:01.997000
42,2013-04-20 13:22:39.100,2013-04-20 13:23:03.652,24.6,2013-04-20 13:22:51.376000
44,2013-04-20 16:39:21.657,2013-04-20 16:42:48.919,207.3,2013-04-20 16:41:05.288000
46,2013-04-20 04:15:18.211,2013-04-20 04:18:11.099,172.9,2013-04-20 04:16:44.655000
46,2013-04-20 12:37:05.859,2013-04-20 12:38:09.755,63.9,2013-04-20 12:37:37.807000
47,2013-04-20 02:18:25.299,2013-04-20 02:21:05.163,159.9,2013-04-20 02:19:45.231000
47,2013-04-20 17:42:14.416,2013-04-20 17:44:57.156,162.7,2013-04-20 17:43:35.786000
48,2013-04-20 19:42:31.131,2013-04-20 19:46:06.225,215.1,2013-04-20 19:44:18.678000
49,2013-04-20 11:00:48.608,2013-04-20 11:01:57.533,68.9,2013-04-20 11:01:23.070500
51,2013-04-20 12:14:09.858,2013-04-20 12:17:12.845,183.0,2013-04-20 12:15:41.351500
51,2013-04-20 18:48:36.976,2013-04-20 18:51:19.252,162.3,2013-04-20 18:49:58.114000
52,2013-04-20 01:54:55.505,2013-04-20 01:57:56.016,180.5,2013-04-20 01:56:25.760500
52,2013-04-20 10:12:26.099,2013-04-20 10:15:11.888,165.8,2013-04-20 10:13:48.993500
53,2013-04-20 02:48:24.472,2013-04-20 02:51:20.720,176.2,2013-04-20 02:49:52.596000
53,2013-04-20 07:44:10.401,2013-04-20 07:46:49.833,159.4,2013-04-20 07:45:30.117000
55,2013-04-20 02:14:58.810,2013-04-20 02:17:40.564,161.8,2013-04-20 02:16:19.687000
55,2013-04-20 19:20:17.525,2013-04-20 19:23:05.472,167.9,2013-04-20 19:21:41.498500
57,2013-04-20 20:37:38.262,2013-04-20 20:38:56.045,77.8,2013-04-20 20:38:17.153500
58,2013-04-20 08:08:04.482,2013-04-20 08:10:43.651,159.2,2013-04-20 08:09:24.066500
58,2013-04-20 18:10:58.513,2013-04-20 18:13:45.201,166.7,2013-04-20 18:12:21.857000
59,2013-04-20 15:57:23.131,2013-04-20 16:00:06.307,163.2,2013-04-20 15:58:44.719000
60,2013-04-20 12:43:17.889,2013-04-20 12:46:48.640,210.8,2013-04-20 12:45:03.264500
61,2013-04-20 18:54:06.236,2013-04-20 18:57:18.409,192.2,2013-04-20 18:55:42.322500
62,2013-04-20 16:58:21.834,2013-04-20 17:01:34.299,192.5,2013-04-20 16:59:58.066500
62,2013-04-20 23:34:22.909,2013-04-20 23:37:02.446,159.5,2013-04-20 23:35:42.677500
63,2013-04-20 22:04:08.871,2013-04-20 22:06:48.080,159.2,2013-04-20 22:05:28.475500
64,2013-04-20 00:44:19.890,2013-04-20 00:47:03.716,163.8,2013-04-20 00:45:41.803000
64,2013-04-20 16:07:15.944,2013-04-20 16:10:34.364,198.4,2013-04-20 16:08:55.154000
65,2013-04-20 03:34:36.845,2013-04-20 03:37:22.110,165.3,2013-04-20 03:35:59.477500
65,2013-04-20 08:29:56.375,2013-04-20 08:33:17.089,200.7,2013-04-20 08:31:36.732000
65,2013-04-20 10:07:27.638,2013-04-20 10:07:35.832,8.2,2013-04-20 10:07:31.735000
66,2013-04-20 09:05:26.767,2013-04-20 09:08:04.244,157.5,2013-04-20 09:06:45.505500
66,2013-04-20 15:39:40.346,2013-04-20 15:42:44.936,184.6,2013-04-20 15:41:12.641000
67,2013-04-20 00:40:05.480,2013-04-20 00:43:33.473,208.0,2013-04-20 00:41:49.476500
67,2013-04-20 17:44:37.138,2013-04-20 17:47:41.714,184.6,2013-04-20 17:46:09.426000
68,2013-04-20 00:01:09.730,2013-04-20 00:03:52.686,163.0,2013-04-20 00:02:31.208000
68,2013-04-20 13:39:56.699,2013-04-20 13:42:33.187,156.5,2013-04-20 13:41:14.943000
68,2013-04-20 23:42:09.195,2013-04-20 23:44:52.314,163.1,2013-04-20 23:43:30.754500
69,2013-04-20 03:11:34.962,2013-04-20 03:14:51.891,196.9,2013-04-20 03:13:13.426500
69,2013-04-20 16:48:10.878,2013-04-20 16:51:07.811,176.9,2013-04-20 16:49:39.344500
71,2013-04-20 06:29:49.066,2013-04-20 06:32:38.894,169.8,2013-04-20 06:31:13.980000
72,2013-04-20 05:25:53.691,2013-04-20 05:29:09.206,195.5,2013-04-20 05:27:31.448500
73,2013-04-20 10:39:39.734,2013-04-20 10:42:16.833,157.1,2013-04-20 10:40:58.283500
73,2013-04-20 17:14:38.355,2013-04-20 17:17:18.628,160.3,2013-04-20 17:15:58.491500
76,2013-04-20 08:46:53.716,2013-04-20 08:49:32.675,159.0,2013-04-20 08:48:13.195500
77,2013-04-20 12:14:43.320,2013-04-20 12:17:20.528,157.2,2013-04-20 12:16:01.924000
77,2013-04-20 18:49:18.380,2013-04-20 18:52:10.699,172.3,2013-04-20 18:50:44.539500
78,2013-04-20 03:13:58.264,2013-04-20 03:16:41.391,163.1,2013-04-20 03:15:19.827500
79,2013-04-20 16:52:35.125,2013-04-20 16:55:27.620,172.5,2013-04-20 16:54:01.372500
81,2013-04-20 06:41:27.449,2013-04-20 06:44:29.078,181.6,2013-04-20 06:42:58.263500
81,2013-04-20 13:17:51.972,2013-04-20 13:21:24.343,212.4,2013-04-20 13:19:38.157500
82,2013-04-20 08:13:11.990,2013-04-20 08:16:10.703,178.7,2013-04-20 08:14:41.346500
